rank,tell,category,confidence,cite_share_sample_pct,regex_share_sample_pct,regex_share_fullcorpus_pct,vs_regex,what_to_do
16,"Marketing / hype language ('revolutionary', 'transform your life', 'transformative')",phrasing,medium,0.3,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Repeatedly cited as a category broader than single words ('This revolutionary product will transform your life'); strip promotional adjectives and state plain facts.
17,Verbosity / repetition / restating the same point across sections,phrasing,medium,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel tell (no SOURCE 1 percentage) raised across 3 chunks ('repeated in 5 different sections', 5-page review of an 8-page article); cut length and say each thing once."
18,Forced / overly-smooth transitions,phrasing,medium,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Novel structural tell (no SOURCE 1 percentage; 'The transitions are forced'); the connective tissue is too even — let ideas jump and trim 'moreover/furthermore' scaffolding.
19,"No contractions / overly formal register (merged #17, #21)",phrasing,medium,0.7,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),True total higher once merged; stiff register reads as AI — use contractions and write the way you talk.
20,"Hedging / both-sides balance ('it depends', 'on one hand... on the other')",phrasing,low,0.3,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),Cited as Claude 'hedges everything' giving a menu instead of committing; take a position rather than listing every option.
21,"""In today's fast-paced world"" / dated scene-setting opener",phrasing,low,0.7,0.2,0.4,regex under-counts,Iconic but low citation count; a hollow opener — delete it and start with something specific.
22,Emoji as bullets or section headers,format,low,0.8,0.0,0.0,REGEX UNDER-COUNTS (missed wording),Real but not cited as a tell in several chunks; decorative emoji-bullets look templated — use plain text headers.
23,Horizontal-rule dividers (---) between sections,format,low,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel (no SOURCE 1 percentage), from a single vivid quote ('another obvious AI writing marker'); the markdown line breaks read as generated — use paragraph breaks instead."
24,Deliberately-inserted fake typos to beat detectors,artifact,low,0,n/a,n/a,REGEX-BLIND (no lexicon entry — cannot be regex-detected),"Novel anti-detection artifact (no SOURCE 1 percentage; 'excyted', 'annownce'); ironically itself a tell — don't fake errors, just write naturally."
25,"""In conclusion"" / ""in summary"" closers",phrasing,low,0.2,0.2,1.0,agree,"SOURCE 2 keyword pass puts it higher (~1.0%); the signposted wrap-up is formulaic — end on a real last point, not a recap."
