rank,confidence,category,tell,posts_mentioning,share_pct_of_ontopic,share_2021,share_2022,share_2023,share_2024,share_2025,share_2026
44,high,phrasing,"""in today's fast-paced/digital world""",32,0.4,0.0,0.0,0.3,0.3,0.3,0.6
45,high,artifact,"""great question!""",32,0.4,0.0,0.0,0.0,0.1,0.3,0.6
46,high,diction,"testament (""a testament to"")",31,0.4,0.0,0.0,0.3,0.8,0.3,0.4
47,low,diction,pivotal,29,0.4,0.0,0.0,0.0,1.1,0.4,0.3
48,low,diction,vibrant,28,0.4,0.0,0.0,0.3,0.7,0.3,0.4
49,high,artifact,"""let me know if you'd like / feel free""",28,0.4,0.0,1.2,0.3,0.0,0.3,0.4
50,high,diction,ever-evolving / ever-changing,27,0.3,0.0,0.0,0.3,1.1,0.4,0.1
51,high,diction,underscore(s),26,0.3,0.0,0.0,1.2,0.7,0.2,0.2
52,low,phrasing,"""that being said""",26,0.3,0.0,0.0,1.2,0.6,0.3,0.2
53,high,artifact,"""I cannot/can't assist/fulfill""",25,0.3,0.0,0.0,0.3,1.0,0.2,0.3
54,low,diction,facilitate,23,0.3,0.0,0.0,0.2,0.4,0.3,0.2
55,low,diction,synergy,23,0.3,0.0,0.0,0.3,0.0,0.4,0.2
56,high,format,"""rule of three"" / triads",23,0.3,0.0,0.0,0.0,0.0,0.3,0.4
57,high,artifact,"""I hope this email finds you well""",22,0.3,0.0,0.0,0.2,0.4,0.2,0.4
58,high,artifact,"""knowledge cutoff / as of my last update""",21,0.3,0.0,0.0,0.7,0.0,0.4,0.1
59,high,diction,"embark (""embark on a journey"")",20,0.3,0.0,0.0,0.5,0.4,0.4,0.0
60,high,artifact,"""I hope this helps!""",20,0.3,0.0,0.0,0.2,0.1,0.1,0.4
61,low,phrasing,"""needless to say""",16,0.2,0.0,0.0,0.3,0.1,0.2,0.2
62,high,format,rhetorical question then answer,16,0.2,0.0,0.0,0.0,0.0,0.3,0.2
63,high,artifact,"""would you like me to ...?""",16,0.2,0.0,0.0,0.0,0.0,0.4,0.1
64,high,artifact,"""Certainly!"" / ""Absolutely!"" openers",15,0.2,0.0,0.0,0.2,0.0,0.2,0.3
65,low,diction,multifaceted,13,0.2,0.0,0.0,0.0,0.0,0.1,0.3
66,high,artifact,"""as an AI language model""",13,0.2,0.0,0.0,0.7,0.1,0.2,0.1
67,low,diction,plethora,12,0.2,0.0,1.2,0.3,0.6,0.2,0.0
68,high,phrasing,"""unlock/unleash the power/potential""",12,0.2,0.0,0.0,0.5,0.3,0.2,0.0
69,high,phrasing,"""elevate your ...""",12,0.2,0.0,0.0,1.0,0.3,0.1,0.0
70,low,diction,paramount,11,0.1,0.0,0.0,0.2,0.0,0.1,0.2
71,high,diction,boasts,11,0.1,0.0,1.2,0.2,0.1,0.0,0.2
72,high,diction,nestled,11,0.1,0.0,0.0,0.0,0.4,0.1,0.2
73,high,diction,bustling,9,0.1,0.0,0.0,0.0,0.7,0.1,0.0
74,low,phrasing,"""take it to the next level""",8,0.1,0.0,0.0,0.2,0.1,0.1,0.1
75,low,phrasing,"""the key to""",8,0.1,0.0,1.2,0.0,0.3,0.1,0.1
76,high,artifact,"""I don't have personal/the ability""",8,0.1,0.0,0.0,0.2,0.1,0.1,0.1
77,high,phrasing,"""first and foremost""",7,0.1,0.0,0.0,0.3,0.1,0.0,0.1
78,high,phrasing,"""whether you're a ... or ...""",7,0.1,0.0,0.0,0.0,0.4,0.1,0.0
79,low,diction,myriad,6,0.1,0.0,0.0,0.0,0.3,0.1,0.0
80,low,diction,holistic,6,0.1,0.0,0.0,0.0,0.1,0.1,0.1
81,high,diction,treasure trove,6,0.1,0.0,0.0,0.0,0.1,0.1,0.0
82,high,phrasing,"""buckle up""",5,0.1,0.0,0.0,0.2,0.6,0.0,0.0
83,high,phrasing,"""last but not least""",4,0.1,0.0,0.0,0.2,0.0,0.1,0.0
84,high,phrasing,"""navigating the complexities/landscape""",4,0.1,0.0,0.0,0.0,0.3,0.0,0.0
85,high,phrasing,"""in the ever-evolving landscape""",4,0.1,0.0,0.0,0.0,0.0,0.1,0.0
86,high,phrasing,"""look no further""",3,0.0,0.0,0.0,0.3,0.1,0.0,0.0
87,high,phrasing,"""say goodbye to""",3,0.0,0.0,1.2,0.0,0.0,0.1,0.0
88,high,phrasing,"""without further ado""",3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
89,high,phrasing,"""rest assured""",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,high,format,emoji bullets / emoji headers,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
