file	instances	forms	quotes
recommendation__03__B__r3.txt	4	4,4,4,1	One flag before the text | I've left them in as instructed | I also left the ~$180K Q3 variance in | my instinct is yes, plainly
marketing_email__03__A__r2.txt	1	5	the subject line is doing the heavy lifting here
internal_memo__02__A__r1.txt	0		
blog_post__03__B__r2.txt	0		
cover_letter__01__B__r1.txt	5	4,4,5,4,4	the letter skips the résumé recap and spends its space on | so I'll skip the recap and go to what I think the job actual | That changes the sequencing significantly. | Happy to talk through any of the above | ~400 words | ~300 words
cover_letter__03__A__r1.txt	2	4,4	I read your note as: the letter's recipient already has cont | tell me and I'll give you the cold-application version, stri
internal_memo__04__B__r3.txt	4	4,4,4,4	was cut back at the second rewrite, when we dropped the pers | So there's nothing to remove here. | Here's the text unchanged: | if you were working from the longer first draft, the line to
blog_post__01__A__r1.txt	5	5,5,5,4,1	it reframes the whole evaluation | This is a genuinely different threat model, not a marketing  | this is a higher-consequence feature than most of the above | than most of the above | rather than any writeup, including this one
linkedin__04__B__r1.txt	4	4,4,4,4	I've assumed a reader who's run hiring loops and is bored of | so this argues with the cliché rather than making the case f | I can shift the emphasis | the ramp-cost point and the budget point land differently
cover_letter__01__A__r2.txt	1	1	my view is unchanged
linkedin__04__C__r0.txt	4	4,4,4,4	One caveat, because this advice gets abused | A few notes: | drop a sentence about them after the opening | Happy to make this shorter, punchier, or more story-driven
internal_memo__03__C__r0.txt	2	4,4	Want me to tailor this? | and I'll revise it
cover_letter__04__C__r0.txt	2	4,4	Name the school specifically in paragraph one and four | Keep it to one page (roughly 350–450 words once you trim)
marketing_email__02__A__r1.txt	2	4,1	So we'll skip the pitch. | (not really, but you get it)
cover_letter__01__B__r2.txt	6	4,4,4,4,4,4	Short Version — Operations Manager (~150 words, main point f | Best for: email body, internal note, or a message where the  | so here's my read on the job instead | What I cut: the three-part constraint list (kept the stronge | the first line is doing the work of a subject line | carries the metrics this version now assumes
newsletter__01__A__r2.txt	3	4,5,5	We covered those in the spring and they hold. | The last one does most of the work. | which is the expensive part
product_update__01__C__r0.txt	0		
cover_letter__02__B__r2.txt	5	4,4,4,4,1	I kept the warm-reader framing and cut to about 125 words | It was the emotional core of the longer version | It was redundant once the plan moved to the top. | What survived: the plan, the proof you've been inside | If the placement is different than I guessed
linkedin__03__C__r0.txt	6	4,5,1,4,4,4	Here's a draft. I've used brackets where you'll want to drop | the concrete details are what make these posts land | I'd argue the team didn't | A few notes: | The closing question is optional but it does drive comments | The post works because you're taking responsibility, not nar
cover_letter__02__A__r2.txt	0		
blog_post__04__C__r0.txt	5	5,5,4,5,5	This is the single most valuable thing you can do | This is not negotiable, and it applies to dealers too. | Here's how to do it. | One important caveat: history reports are incomplete. | This is where a careful inspection matters most
internal_memo__03__A__r1.txt	0		
internal_memo__03__B__r1.txt	2	4,4	This memo confirms decisions and assigns execution ownership | aligned on the two changes noted above
blog_post__02__A__r3.txt	6	3,4,4,1,1,5	You're right — I shouldn't have inserted a cited finding you | I've removed it, along with the clause that hung off it | Nothing else is changed. | the only mechanism I've seen that makes reading a scheduled  | In nearly every one I've looked at, the cause wasn't proximi | Worth naming: a fair number of RTO mandates
recommendation__03__B__r2.txt	2	4,4	Same reader (VP), tighter slot — a calibration packet entry  | Same content, roughly half the words.
newsletter__04__A__r1.txt	7	4,4,4,4,2,1,4	So this one skips the definitions. | This issue is about what happens after that. | That's an uncomfortable list because it's short. | Gentle one, and it's aimed at the people most likely to be r | That's a real loss and I won't pretend otherwise. | Probably nothing, in the sense you mean. | Last issue covered the fundamentals
newsletter__04__B__r2.txt	2	5,5	The main point, up front: insight is not an intervention. | That number is the actual decision
product_update__02__B__r1.txt	7	4,4,4,4,5,4,4	That shifts the piece from persuasion to reference | Cut the rationale entirely. | Cut the feature list. | Promoted the breaking changes from a one-line FAQ answer to  | for an informed reader this is the actual payload of the pos | Added "known gaps." | Timeline became a status board rather than a schedule
marketing_email__02__B__r1.txt	0		
product_update__03__A__r2.txt	2	1,4	(beta cohort, two weeks, directional) | Metrics are placeholders — swap in real benchmark output bef
newsletter__01__C__r0.txt	7	4,1,5,5,5,6,4	So this issue is about the unglamorous version | The phone one is not optional in my experience. | It's the whole point. | which is the actual asset | That's the only metric that matters. | the clearest short treatment of the anchor idea | That's the issue.
linkedin__03__B__r2.txt	6	4,5,4,4,5,4	The lead now carries the whole post | the two details worth getting exactly right | Everything else can flex. | If you need to go shorter still, cut the discovery-ratio sen | The listening point is the one your team can act on immediat | The caveats from the last version still apply
newsletter__03__C__r0.txt	9	4,5,5,5,5,4,4,4,4	So this issue isn't a takedown of any particular method. | The interesting question is why they stop working for almost | nearly useless at the thing that actually matters | This is the big one. | This is the failure mode I think is most underrated. | Notice what's missing: apps, tags, hierarchies, methodologie | There's an obvious risk with an issue like this | So here's the smaller ask instead. | Want me to adapt this? I can adjust the length
cover_letter__02__B__r3.txt	11	4,4,4,3,4,4,4,4,3,4,4	this version doesn't contain a quantified results claim | the metrics dropped out back when we cut the bullets | The closest thing is the project reference in paragraph two | I've removed that, since it's the likeliest thing you meant | Everything else is untouched. | that clause was the only evidence of what you've actually do | What's left establishes that you've been around since [year] | the letter now leans entirely on the résumé for proof | If I guessed wrong, | the other candidate is "I'd rather do a few things consisten | Say the word and I'll cut that instead, or both.
marketing_email__02__A__r2.txt	0		
internal_memo__02__A__r2.txt	0		
newsletter__02__B__r3.txt	8	5,3,4,4,4,4,4,4	If you're paid partly in stock, this is worth more than ever | I read "the claim about results" as the CPA line | It's now just "Hire a CPA." Everything else is untouched. | the other candidates are "Potentially five figures a year of | the ranked list's framing around "actual impact on your net  | Say the word and I'll pull either of those instead. | Here's where it should go instead. | The main point, up front
marketing_email__02__A__r3.txt	2	1,4	I don't think there's a results claim in it | If it's one of the four above
cover_letter__03__A__r2.txt	0		
product_update__01__B__r2.txt	5	4,4,4,4,4	led with the performance number since it's the most concrete | collapsed the feature list to scannable bullets | compressed migration and known gaps to one line each | This should fit an in-app changelog, release note, or Slack  | tell me the actual placement and I'll trim or restructure to
recommendation__01__C__r0.txt	3	4,4,4	Below is a complete, adaptable letter of recommendation. | I want to highlight one episode in particular. | A few notes for adapting this:
internal_memo__02__A__r3.txt	4	1,4,3,3	I don't think there's a results claim left in the current ve | Here it is line by line: | I invented that evidence | — also mine
marketing_email__03__B__r2.txt	10	4,4,5,4,4,4,5,4,5,4	Lead is now the hook. | The unresolved mechanic plus the effective date opens the em | that single sentence carries the argument for attending | Agenda trimmed from five items to four, each to one line. | Documentation and exam experience folded out | Subject lines cut to one. | option 1 does the most work | Panel reduced to two names | the two credentials that move registration | Disclaimer kept.
newsletter__03__B__r3.txt	7	5,3,4,4,3,4,4	That's the whole problem. | What I changed: the quantified outcome | Same function in the list, no asserted result. | Everything else is verbatim; still ~615 words. | One flag, in case I picked the wrong line | there's a second candidate I left alone | It's a claim about what the system produces
newsletter__02__B__r1.txt	4	4,4,4,5	The stuff below is less about discipline and more about allo | Here's where the actual leverage is. | The rest of this issue is mostly items 2 and 3 | this section is worth more than the rest of the issue combin
blog_post__02__B__r3.txt	8	4,4,4,4,4,5,1,1	One note on the edit | I removed both reported research findings | reworked those two sentences as unattributed assertions | Everything else is unchanged. | If you only needed one of them out, say which and I'll resto | That's the entire distributed-work problem. | the objection I find hardest to argue away | I don't think process fixes it.
newsletter__03__A__r2.txt	4	6,5,4,2	Allen said it outright | That's the whole failure, and no amount of tooling touches i | You know the collapse curve, so skip to the consequence. | the honest question is how many, not zero
cover_letter__04__B__r2.txt	8	4,4,2,4,4,4,4,4	Roughly 175 words, built for an email body | The ask moves to sentence one; the diagnosis leads the body. | One honest caveat | Culture and operations sections. | Two priorities land harder than four in a short format. | The closing paragraph about knowing the building. | is a sentence about the letter, not about the job | Kept deliberately: the caveat and the succession note.
product_update__01__A__r1.txt	3	4,5,4	Here's what changed since the beta build you saw last month. | it's the biggest behavioral change in the release | Let me know if you want this shorter, aimed at a specific au
internal_memo__02__B__r3.txt	6	4,3,4,4,4,3	I looked through the short version and couldn't find a resul | was in the first draft, and it came out when I cut the ratio | The current text is schedule, logistics, norms, exceptions,  | So here it is unchanged: | not a results claim, but it does imply the split produces be | The productivity line from draft one
linkedin__04__A__r2.txt	1	1	the best proxy I've found for how someone behaves
linkedin__01__B__r1.txt	9	4,4,4,4,4,4,5,4,4	Here's the same post written for people who've been followin | no origin story, no case-making, straight into the part | The update nobody asks for but everyone wants | That part is settled and I'm not going to relitigate it | "least-bad" is doing real work in that sentence | What changed in the rewrite: I cut the setup | the unresolved problems *are* the content | The tone is also more candid | drop the LinkedIn-ish closing line
internal_memo__03__A__r3.txt	4	4,4,4,4	I don't see a results or metrics claim left in the current d | lines were dropped two revisions ago | The closest candidates are assertions I supplied without you | I've removed #1 below
cover_letter__04__A__r2.txt	0		
newsletter__01__A__r1.txt	9	4,4,4,4,4,4,5,4,4	Here's that version. | We did all that in the spring issues and I'm not going to re | So that's the issue. Not how to build one. | Here's the thing nobody accounts for | Which brings me to the thing I've actually been using. | Three rules, and the second one is the one people violate. | That last one is the real question. | I don't think I've said this in eleven months of writing abo | Two things, ten minutes total.
product_update__02__B__r2.txt	8	4,4,4,4,4,4,4,4	I've kept the breaking changes, since that's the part a tech | dropped everything that duplicates the guide | What I cut | The status table — a returning reader doesn't need the miles | folded the one line that mattered (data stays put) into the  | [account manager] mention only earns its space in a post | say the word and I'll get it to two sentences plus a link | Rate limits — real, but it's a tuning problem, not a breakag
marketing_email__02__B__r2.txt	6	4,4,4,6,5,4	Same lapsed-member audience, cut to roughly half. | The offer now leads; the familiarity moves into a single lin | What I cut and why: | The subject now states the offer plainly | the second is what keeps a win-back email from feeling like  | this compresses further
marketing_email__03__A__r1.txt	2	5,5	Neither has anyone else, which is the problem | the specificity *is* the credibility
cover_letter__03__A__r3.txt	3	3,4,1	that was the outcome claim I'd invented | I cut "it's been running against live data since [month]" | it asserts an effect I don't have grounds for either
cover_letter__03__B__r3.txt	5	4,4,4,5,4	only the outcome metric came out of the example placeholder | The sentence now names the work without quantifying its effe | Everything else is untouched. | that metric was carrying most of the weight in the middle pa | Without it, "that was the gap, and it's closed" is doing the
internal_memo__01__A__r1.txt	0		
product_update__02__C__r0.txt	1	2	we don't take them lightly
cover_letter__04__B__r3.txt	8	4,4,2,4,4,4,4,4	Same letter, one sentence gone. | Everything else is untouched. | One honest caveat | The sentence "We're losing teachers in years two and three." | It was the only outcome claim left in the draft | The retention paragraph still works without it | and the tone doesn't change | That paragraph would need a replacement opener
internal_memo__01__B__r1.txt	0		
linkedin__04__A__r3.txt	4	3,4,4,3	Changed two spots: dropped "because they predict something"  | and cut "the best proxy I've found for how someone behaves | Everything else is untouched. | Both were implying evidence you hadn't given me.
newsletter__02__A__r1.txt	3	6,6,6	is directionally fine and analytically sloppy | The clarifying question is the standard one | "Three to six months" is a compromise
linkedin__03__B__r1.txt	5	4,4,4,4,5	I'm not going to relitigate the timeline. | It's riskier than the first draft. | I cut the closing question. | Length: this is close to the ceiling for a post | the discovery-ratio point is the one that changes future beh
newsletter__01__B__r3.txt	9	4,1,1,4,4,4,4,4,5	Quick flag before the copy: there were a couple of candidate | the one I read as the results claim | The bloodwork reference in particular struck me as the likel | the other candidates are: "and you'll cut at least one perma | Say the word and I'll swap. | Everything else is untouched. | Everything below assumes you can already build. | These are the failure modes on the other side. | Step five is the whole exercise.
linkedin__02__B__r1.txt	4	4,4,4,5	Here's a version that assumes the reader already knows your  | Or a slightly warmer take: | What changed and why: | One caveat worth naming
product_update__03__A__r1.txt	4	4,1,5,4	Details below. | so treat it as directional until we have broader data | This is the change most likely to affect your work — budget  | Metrics are placeholders — swap in the real benchmark output
blog_post__04__B__r1.txt	3	5,5,5	which changes how you should think about the entire purchase | That gap is where the value is. | This is the single clearest inefficiency in the private-part
recommendation__03__A__r2.txt	0		
blog_post__03__B__r1.txt	0		
blog_post__03__A__r3.txt	4	3,3,4,4	I cut the empirical outcome claim in "Killing a meeting you  | That was an efficacy claim you never gave me. | Everything else is unchanged. | Two other sentences are also unsourced assertions rather tha
recommendation__02__A__r3.txt	3	3,4,4	Removed: "and was right about which risk mattered" — that wa | Everything else is unchanged. | If you meant a different line, tell me which and I'll cut th
internal_memo__03__A__r2.txt	0		
linkedin__01__A__r1.txt	7	4,5,1,3,3,4,5	here's a version written as a follow-up | The meeting cull turned out to be the whole thing. | That was the part I was least sure about | The part I underestimated | Anyone who asked me about this in March and got a hedge | I can drop the brackets and make it specific | The insider version lives or dies on the details only you ha
marketing_email__04__B__r1.txt	2	4,4	Reading this as: same asset, written for an experienced life | Rationale stripped, decisions stated, edge cases flagged.
internal_memo__04__C__r0.txt	0		
internal_memo__04__A__r1.txt	0		
internal_memo__04__A__r2.txt	1	5	don't skim them
linkedin__01__B__r2.txt	7	4,4,4,4,4,4,4	Here's a tighter cut — roughly half, leading with the conclu | "least-bad" is doing real work in that sentence | What I cut and why | the leadership point went first | so it earns the least space | I compressed each remaining point to its sharpest sentence a | the three bolded lines plus the closing line stand on their 
newsletter__04__C__r0.txt	8	4,4,5,5,4,4,2,4	That's the sentence that made me want to write this issue. | Let's talk about it properly. | This distinction matters more than it sounds like it does. | That's the tell. | More on that below. | Three things, and they're all more effective than a wellness | Honestly? Often you can't tell until you've rested. | That's the issue.
cover_letter__04__A__r1.txt	2	5,2	Three results matter most: | I want to be straightforward that this remains unfinished wo
recommendation__03__C__r0.txt	3	5,2,4	**Why this matters:** | I want to be direct | The action plan above is designed to make the habit easier
product_update__02__A__r2.txt	0		
marketing_email__03__C__r0.txt	0		
newsletter__03__B__r2.txt	5	2,5,4,4,4	Which means the honest diagnosis for a lot of collapsed syst | That's the whole problem. | Roughly 620 words. | I can take it to 400 by cutting the identity-artifact passag | a few headline alternatives if the current one is too flat
blog_post__04__A__r3.txt	4	3,3,5,4	I've removed the outcome claim in the paint gauge section | that's the line asserting a specific result I had no basis f | The main point: a clean Carfax and a generic PPI tell | Everything below serves that.
newsletter__01__B__r2.txt	4	4,4,2,5	Everything below assumes you can already build. | These are the failure modes on the other side. | What I've learned doing this badly, repeatedly: | Step five is the whole exercise.
blog_post__01__B__r1.txt	5	4,4,4,2,5	So let's skip the on-ramp and talk about the parts | The short version of my thesis | more on that below | That's not a criticism | That's the whole problem passkeys were supposed to make less
linkedin__02__A__r3.txt	4	4,3,1,4	The version I last sent doesn't actually contain a results c | the only number I ever wrote was in the earlier round | My guess is one of these | Here it is with both softened, everything else intact
recommendation__02__B__r2.txt	6	4,4,4,4,4,4	You have the record; here's what isn't in it. | **What I cut:** the numbered structure and headers (unnecess | the framing sentences that announced what I was about to say | one of the three evidence points' elaboration | The opening line now carries the recommendation | a reader who stops after ten words still gets it
internal_memo__02__B__r2.txt	2	4,4	I cut the memo header and the closing thanks | If it's going somewhere that needs the TO/FROM/RE block, say
linkedin__02__A__r2.txt	0		
cover_letter__01__C__r0.txt	2	5,4	Numbers are what make this letter work | If you're over ~400 words, cut the weakest bullet.
newsletter__04__A__r3.txt	16	3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,5	Removed the outcome claim from the reader question | along with the two closing sentences that depended on it | Everything else is unchanged. | That's the issue. Everything below is elaboration. | Last time we covered fundamentals. | So here's what's actually happening. | Short list, and uncomfortable. | Aimed at the people most likely to be reading this | Two other spots you may want to look at before publishing | I don't want to cut anything you didn't ask me to | in *What leaving fixes* — a specific timeline I supplied | which runs through the lead and the first section | it can be reworded to something non-numeric | without touching the structure | Say the word and I'll adjust either. | Even a rough split changes your next move.
newsletter__03__B__r1.txt	11	4,4,1,2,1,2,1,4,5,1,4	A note for people who've already read the books | Fine. Granted. Let's skip it. | My working answer: | So the honest diagnosis for a lot of collapsed systems | I don't buy it. | To be fair to the canon, there are real regimes where it dom | it's probably an implementation problem and worth fixing pro | Not tips. Constraints. | That's the whole problem. | whether I'm generalizing from a narrow sample | Adjacent versions available: I can push this further
marketing_email__02__B__r3.txt	10	4,4,4,3,4,4,4,3,4,4	The short version doesn't actually contain a results claim | anywhere in it | The closest thing is | I've cut that on the assumption it's what you meant | Everything else is untouched. | Two things worth confirming | the only other candidates are | Tell me which and I'll cut it instead. | the earlier long versions have more exposure than this one | the first draft includes "this is the year you finally trans
internal_memo__01__A__r3.txt	3	3,4,3	I removed the [10]-business-day reimbursement turnaround | that was the only performance claim in the draft | it came from my initial template, not from you
recommendation__01__A__r2.txt	3	1,4,4	I recommend him without qualification. | One item on the transcript needs a word. | the analysis work above
newsletter__04__B__r1.txt	12	4,4,1,4,1,5,1,5,1,4,5,4	Skipping the throat-clearing this week. | So let's talk about the part that comes after the diagnosis | I think this gap exists because insight is cheap | Two reasons. | It's the best relapse predictor I know of. | Worth saying plainly: | I don't have a clean test for distinguishing | The point: prescribe against your deficit. | framing is still the most useful I've found | and it splits three ways | This is the distinction I most wish had reached me earlier. | A lot of readers wrote in after the last issue on this, so:
