file	publication	publication_name	author	genre	tagline	url	year	words	why_known_human
howardluksmd__2020__05.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/cognitive-impairment-and-dementia	2020	469	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
howardluksmd__2020__06.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/does-meniscus-surgery-decrease-your	2020	722	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
howardluksmd__2020__07.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/running-shoes-science-vs-hype	2020	654	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
howardluksmd__2020__08.txt	howardluksmd	Built to Move, Born to Heal: Notes on Midlife Fitness	Howard Luks MD		A physician /longevity author's take on midlife health, movement, and resilience. I write about fitness, longevity, mindset, and the quiet cost of stillness. So	https://howardluksmd.substack.com/p/degenerative-meniscus-tears-does	2020	582	Substack post indexed by the publication's own /sitemap/2020, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__01.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/december-30-2021	2021	2320	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__02.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/december-15-2021	2021	1261	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__03.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/november-30-2021	2021	1174	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__04.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/november-15-2021	2021	1112	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__05.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/october-31-2021	2021	1025	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__06.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/september-17-2021	2021	1273	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__07.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/september-2-2021	2021	1412	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
heathercoxrichardson__2021__08.txt	heathercoxrichardson	Letters from an American	Heather Cox Richardson		A newsletter about the history behind today's politics.	https://heathercoxrichardson.substack.com/p/august-18-2021	2021	1306	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__01.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/the-very-bad-day-at-the-cdc	2021	1294	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__02.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/inching-closer-towards-a-variant	2021	1290	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__03.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/what-the-president-could-have-done	2021	1093	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__04.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/why-paxlovid-is-a-just-in-time-breakthrough	2021	1609	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__05.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/omicron-is-getting-more-defined	2021	1272	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__06.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/is-omicron-ominous	2021	1115	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
erictopol__2021__07.txt	erictopol	Ground Truths	Eric Topol		Facts, data and analytics about biomedical matters	https://erictopol.substack.com/p/welcome-to-ground-truths	2021	620	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__01.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/wanting	2021	1208	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__02.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/what-would-that-look-like	2021	917	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__03.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/more-and-less	2021	734	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__04.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/winter-season-planning	2021	951	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__05.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/the-eternal-return-of-childhood-nutrition	2021	338	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__06.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/midlife-athletic-philosophy	2021	595	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__07.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/death-valley-2021	2021	476	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
feelthebyrn__2021__08.txt	feelthebyrn	Endurance Essentials	Gordo Byrn		Endurance Training & High Performance Habits	https://feelthebyrn.substack.com/p/quests-and-expeditions	2021	388	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__01.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/30-years-in-america	2021	3477	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__02.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/inflation-update-not-transitory-yet	2021	1679	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__03.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/beloved-country-unloved-hedge-updated	2021	2511	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__04.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/rooting-for-the-underdog	2021	1062	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__05.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/unconditional-love	2021	963	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__06.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/inflation-is-here-but-for-how-long	2021	3956	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__07.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/go-ahead-covet-your-neighbors-wife	2021	1576	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
vitaliy__2021__08.txt	vitaliy	The Intellectual Investor	Vitaliy Katsenelson		Value Investing, Life/Philosophy and Classical Music Explained	https://vitaliy.substack.com/p/the-renaissance-of-pipelines	2021	1547	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
peekbehindthenumbers__2021__01.txt	peekbehindthenumbers	A Peek Behind the Numbers	Behind the Numbers		Uncovering earnings manipulation and one-time benefits that Wall Street seldom talks about.	https://peekbehindthenumbers.substack.com/p/how-inventory-accounting-methods	2021	2909	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
peekbehindthenumbers__2021__02.txt	peekbehindthenumbers	A Peek Behind the Numbers	Behind the Numbers		Uncovering earnings manipulation and one-time benefits that Wall Street seldom talks about.	https://peekbehindthenumbers.substack.com/p/costs-to-obtain-contracts	2021	2556	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
peekbehindthenumbers__2021__03.txt	peekbehindthenumbers	A Peek Behind the Numbers	Behind the Numbers		Uncovering earnings manipulation and one-time benefits that Wall Street seldom talks about.	https://peekbehindthenumbers.substack.com/p/revenue-recognition-what-is-the-actual	2021	2487	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
peekbehindthenumbers__2021__04.txt	peekbehindthenumbers	A Peek Behind the Numbers	Behind the Numbers		Uncovering earnings manipulation and one-time benefits that Wall Street seldom talks about.	https://peekbehindthenumbers.substack.com/p/revenue-recognition-and-accounts-964	2021	1811	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
peekbehindthenumbers__2021__05.txt	peekbehindthenumbers	A Peek Behind the Numbers	Behind the Numbers		Uncovering earnings manipulation and one-time benefits that Wall Street seldom talks about.	https://peekbehindthenumbers.substack.com/p/revenue-recognition-and-accounts	2021	1779	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
peekbehindthenumbers__2021__06.txt	peekbehindthenumbers	A Peek Behind the Numbers	Behind the Numbers		Uncovering earnings manipulation and one-time benefits that Wall Street seldom talks about.	https://peekbehindthenumbers.substack.com/p/an-introduction-to-peek-behind-the	2021	1577	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__01.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-62-once-a-giant-the-decline	2021	3296	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__02.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-50-andreas-malm-and-ecological	2021	3035	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__03.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-48-the-first-climate-kalecki	2021	2437	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__04.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-44-the-cross-of-gold-populism	2021	3580	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__05.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-38-german-election	2021	2040	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__06.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-36-after-afghanistan-no	2021	2335	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__07.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-34-how-we-paid-for-the	2021	2945	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
adamtooze__2021__08.txt	adamtooze	Chartbook	Adam Tooze		A newsletter on economics, geopolitics and history from Adam Tooze. More substantial than the twitter feed. More freewheeling than what you might read from me i	https://adamtooze.substack.com/p/chartbook-32-bidens-foreign-policy	2021	3089	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__01.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/19120264_pitchfork-papers-31st-december-2021	2021	1711	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__02.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/19118968_pitchfork-papers-90-17th-december-2021	2021	2587	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__03.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/18972016_pitchfork-papers-86-26th-november-2021	2021	2634	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__04.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/18970492_pitchfork-papers-85-12th-november-2021	2021	1708	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__05.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/18969064_pitchfork-papers-83b-29th-october-2021	2021	2144	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__06.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/18967132_pitchfork-papers-80-8th-october-2021	2021	2993	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__07.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/18965952_pitchfork-papers-78-24th-september-2021	2021	1618	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
pitchforkpapers__2021__08.txt	pitchforkpapers	Pitchfork Papers	Pitchfork Papers		Questions that arise from the world of small business, finance and financial fluency, leadership in all its various guises, strategy, and thinking about the fut	https://pitchforkpapers.substack.com/p/18964384_pitchfork-papers-76	2021	1777	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
hardfork__2021__01.txt	hardfork	The Hard Fork by Marvin Liao	The Hard Fork by Marvin Liao		Silicon Valley Meets the World. Strong Opinions & Perspective on Personal Development, Self Sovereignty, Entrepreneurship, Venture Capital, The Technology & Med	https://hardfork.substack.com/p/our-brand-is-crisis-valuable-lessons	2021	766	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
hardfork__2021__02.txt	hardfork	The Hard Fork by Marvin Liao	The Hard Fork by Marvin Liao		Silicon Valley Meets the World. Strong Opinions & Perspective on Personal Development, Self Sovereignty, Entrepreneurship, Venture Capital, The Technology & Med	https://hardfork.substack.com/p/startup-now-entrepreneurship-is-the	2021	327	Substack post indexed by the publication's own /sitemap/2021, before ChatGPT public launch 2022-11-30
